Rank,Name,City,Country,Region,Manufacturer,Segment,OS,Cores,Memory,Rmax,Rpeak,Power
14,CINECA,Bologna,Italy,Europe,Lenovo,Academic,Linux,241808,455168,6223,10833,1600.2
15,NASA/Ames Research Center/NAS,Mountain View,US,North America,HPE,Research,SUSE Linux Enterprise Server,241108,917344,5951.6,7107.1,4407
16,DOE/SC/Argonne National Laboratory,Argonne,US,North America,Cray Inc.,Research,Cray Linux Environment,231424,NULL,5884.6,9627.2,1087
17,HLRS,Stuttgart,Germany,Europe,Cray Inc.,Research,Cray Linux Environment,185088,NULL,5640.2,7403.5,3615
18,King Abdullah University of Science and Technology,Jeddah,Saudi Arabia,Asia,Cray Inc.,Academic,Cray Linux Environment,196608,NULL,5537,7235.2,2834
19,Total Exploration Production,Pau,France,Europe,HPE,Industry,SUSE Linux Enterprise Server,220800,54000,5283.1,6712.3,4150
20,Texas Advanced Computing Center/Univ. of Texas,Austin,US,North America,Dell,Academic,Linux,522080,204800,5168.1,9598.2,4510
21,Forschungszentrum Juelich (FZJ),Juelich,Germany,Europe,IBM,Research,Linux,458752,458752,5008.9,5872,2301
22,National Center for Atmospheric Research (NCAR),Boulder,US,North America,HPE,Research,SUSE Linux Enterprise Server,144900,202752,4788.2,5332.3,1727
23,DOE/NNSA/LLNL,Livermore,US,North America,IBM,Research,Linux,393216,393216,4293.3,5033.2,1972
24,Petroleum Geo-Services,Houston,US,North America,Cray Inc.,Industry,Cray Linux Environment,145920,583680,4042.5,5369.9,1800
25,ECMWF,Reading,UK,Europe,Cray Inc.,Research,Cray Linux Environment,126468,NULL,3944.7,4249.3,1897.02
26,ECMWF,Reading,UK,Europe,Cray Inc.,Research,Cray Linux Environment,126468,NULL,3944.7,4249.3,1897.02
27,Government,,US,North America,Cray Inc.,Government,Linux,72800,NULL,3577,6131.8,1498.9
28,Government,,US,North America,Cray Inc.,Government,Linux,72800,NULL,3577,6131.8,1498.9
29,ERDC DSRC,Vicksburg,US,North America,Cray Inc.,Research,Cray Linux Environment,160304,NULL,3409.6,5865.5,1174.1
30,ERDC DSRC,Vicksburg,US,North America,HPE,Research,SUSE Linux Enterprise Server,124200,441600,3318.9,4570.6,2001
31,Facebook,Santa Clara,US,North America,Facebook,Industry,Ubuntu Linux,60512,63488,3307,4896.5,349.5
32,NVIDIA Corporation,,US,North America,Nvidia,Industry,Ubuntu Linux,60512,63488,3307,4896.5,349.5
33,Exploration & Production - Eni S.p.A.,,Italy,Europe,IBM,Industry,Linux,72000,NULL,3188,4605,1227
34,Japan Aerospace eXploration Agency,Tokyo,Japan,Asia,Fujitsu,Research,Linux,110160,103680,3157,3481.1,1652.4
35,Government,,US,North America,Cray Inc.,Government,Cray Linux Environment,225984,NULL,3143.5,4881.3,6327.55
36,Air Force Research Laboratory,Wright-Patterson AFB,US,North America,HPE,Government,SUSE Linux Enterprise Server,152692,447000,3126.2,5610.5,2460.04
37,Academic Center for Computing and Media Studies (ACCMS)-Kyoto University,Kyoto,Japan,Asia,Cray Inc.,Academic,Cray Linux Environment,122400,115200,3057.3,5483.5,748.1
38,DKRZ - Deutsches Klimarechenzentrum,Hamburg,Germany,Europe,Bull,Research,Bullx Linux,99072,191232,3010.7,3962.9,1116
39,Information Technology Center- Nagoya University,Nagoya,Japan,Asia,Fujitsu,Academic,Linux,92160,92160,2910,3244,1382.4
40,Leibniz Rechenzentrum,Muenchen,Germany,Europe,IBM/Lenovo,Academic,Linux,147456,NULL,2897,3185.1,3422.67
41,Leibniz Rechenzentrum,Muenchen,Germany,Europe,Lenovo/IBM,Academic,Linux,86016,196608,2813.6,3578.3,1480.83
42,United Kingdom Meteorological Office,Exeter,UK,Europe,Cray Inc.,Research,Cray Linux Environment,89856,NULL,2801.8,3019.2,1347.84
43,United Kingdom Meteorological Office,Exeter,UK,Europe,Cray Inc.,Research,Cray Linux Environment,89856,NULL,2801.8,3019.2,1347.84
44,GSIC Center- Tokyo Institute of Technology,Tokyo,Japan,Asia,NEC/HPE,Academic,SUSE Linux Enterprise Server,74358,74358,2843,5609.4,1398.61
45,Lawrence Livermore National Laboratory,Livermore,US,North America,Penguin Computing,Research,TOSS,95472,344064,2632.5,3207.9,13620
46,Lawrence Livermore National Laboratory,Livermore,US,North America,Penguin Computing,Research,TOSS,95472,344064,2632.5,3207.9,13620
47,Energy Company (A),,Italy,Europe,Lenovo,Industry,Linux,66000,96000,2592,3798.6,1650
48,National Supercomputing Center in Tianjin,Tianjin,China,Asia,NUDT,Research,Linux,186368,229376,2566,4701,4040
49,DOE/SC/Pacific Northwest National Laboratory,Richland,US,North America,Atipa,Research,Linux,194616,184320,2539.1,3388,1384
50,Grand Equipement National de Calcul Intensif - Centre Informatique National de l'Enseignement Suprieur (GENCI-CINES),,France,Europe,Bull,Academic,bullx SCS,85824,215424,2494.7,3570.3,1430
51,Army Research Laboratory DoD Supercomputing Resource Center (ARL DSRC),,US,North America,Cray Inc.,Government,Cray Linux Environment,100064,NULL,2485,3682.4,1465.78
52,US Army Research Laboratory (ARL),Aberdeen,US,North America,HPE,Research,RHEL,73920,NULL,2443.7,2602,835
53,Korea Meteorological Administration,Seoul,South Korea,Asia,Cray Inc.,Research,Cray Linux Environment,69600,NULL,2395.7,2895.4,1359.38
54,Korea Meteorological Administration,Seoul,South Korea,Asia,Cray Inc.,Research,Cray Linux Environment,69600,NULL,2395.7,2895.4,1359.38
55,National Institute for Fusion Science (NIFS),Toki,Japan,Asia,Fujitsu,Research,Linux,82944,82944,2376,2621,1244.16
56,Saudi Aramco,Dharan,Saudi Arabia,Asia,Dell,Industry,RHEL,76032,NULL,2249.7,3041.3,1134
57,Meteo France,Toulouse,France,Europe,Bull,Research,bullx SCS,72000,115200,2168,2534.4,830.4
58,Meteo France,Toulouse,France,Europe,Bull,Research,bullx SCS,73440,117504,2157.4,2585.1,830.2
59,Moscow State University - Research Computing Center,Moscow,Russia,Asia,T-Platforms,Academic,Linux,42688,94208,2102,2962.3,1079
60,LvLiang Cloud Computing Center,LvLiang,China,Asia,NUDT,Industry,Other,174720,57344,2071.4,3074.5,997
61,GSIC Center- Tokyo Institute of Technology,Tokyo,Japan,Asia,HPE,Academic,SUSE Linux Enterprise Server,36288,36864,1998,3207.6,141.6
62,Japan Atomic Energy Agency (JAEA),Tokaimura,Japan,Asia,HPE,Research,SUSE Linux Enterprise Server,60240,160640,1929.4,2409.6,1204.8
63,Commissariat a l'Energie Atomique (CEA),Bruyeres-le-Chatel,France,Europe,Bull,Research,Bullx Linux,70272,281088,1871,2586,1042
64,CINECA,Bologna,Italy,Europe,IBM,Academic,Linux,163840,NULL,1788.9,2097.2,821.88
65,BASF,Ludwigshafen,Germany,Europe,HPE,Industry,Linux,35280,NULL,1750.2,2709.5,1168.65
66,CINECA,Bologna,Italy,Europe,Lenovo,Academic,Linux,54432,NULL,1723.9,2003.1,1360.8
67,Internet Service A,Hangzhou,China,Asia,Inspur,Industry,CentOS,39680,19840,1714,3149.6,967.2
68,Government,,US,North America,HPE,Government,Linux,57600,NULL,1703.3,2304,2880
69,Japan Agency for Marine -Earth Science and Technology,Yokohama,Japan,Asia,ExaScalar,Research,CentOS,3176000,108800,1677.1,3207.7,164
70,National Computational Infrastructure National Facility (NCI-NF),Canberra,Australia,Oceania,Fujitsu / Lenovo / Xenon,Academic,CentOS,87224,327328,1676.2,1875,2016
71,Cyfronet,Cracow,Poland,Europe,HPE,Academic,Linux,55728,NULL,1670.1,2348.6,807.6
72,DOE/SC/LBNL/NERSC,Berkeley,US,North America,Cray Inc.,Research,Cray Linux Environment,133824,356864,1654.7,2569.4,3747.07
73,EPSRC/University of Edinburgh,Edinburgh,UK,Europe,Cray Inc.,Research,Cray Linux Environment,118080,NULL,1642.5,2550.5,3306.24
74,NOAA,Boulder,US,North America,Cray Inc.,Research,Cray Linux Environment,48960,NULL,1635,2036.7,956.25
75,NOAA,Boulder,US,North America,Cray Inc.,Research,Cray Linux Environment,48960,NULL,1635,2036.7,956.25
76,IBM Development Engineering,,US,North America,IBM,Vendor,Linux,62944,NULL,1587,1931.6,3575.63
77,Los Alamos National Laboratory,Los Alamos,US,North America,Penguin Computing,Research,TOSS,53352,189696,1524.7,1792.6,603.4
78,IT4Innovations National Supercomputing Center- VSB-Technical University of Ostrava,Ostrava,Czech Republic,Europe,HPE,Academic,CentOS,76896,129024,1457.7,2011.6,1537.92
79,Science and Technology Facilities Council - Daresbury Laboratory,Warrington,UK,Europe,IBM,Research,Linux,131072,131072,1431.1,1677.7,657
80,Forschungszentrum Juelich (FZJ),Juelich,Germany,Europe,T-Platforms,Research,CentOS,49476,287744,1424.7,1693.4,828.55
81,Air Force Research Laboratory,Wright-Patterson AFB,US,North America,HPE,Government,RHEL,73584,144000,1415.5,1530.5,1606
82,Swiss National Supercomputing Centre (CSCS),Lugano,Switzerland,Europe,Cray Inc.,Research,Cray Linux Environment,44928,159744,1410.7,1509.6,519
83,KTH - Royal Institute of Technology,Stockholm,Sweden,Europe,Cray Inc.,Academic,Cray Linux Environment,53632,NULL,1397,1973.7,785.62
84,Atos,Angers,France,Europe,Bull,Vendor,bullx SCS,49896,88704,1363.5,1676.5,543
85,CEA/TGCC-GENCI,Bruyeres-le-Chatel,France,Europe,Bull,Research,Other,77184,308736,1359,1667.2,2132
86,Simon Fraser University/Compute Canada,Burnaby,Canada,North America,Dell,Academic,CentOS,59776,114688,1337,3710.5,167
87,Commissariat a l'Energie Atomique (CEA)/CCRT,Bruyeres-le-Chatel,France,Europe,Bull,Research,bullx SCS,38528,182016,1299.5,1479.5,539
88,Navy DSRC,,US,North America,Cray Inc.,Government,Cray Linux Environment,61256,NULL,1285.6,2049.6,2323.71
89,Navy DSRC,,US,North America,Cray Inc.,Government,Cray Linux Environment,61256,NULL,1285.6,2049.6,2323.71
90,Max-Planck-Gesellschaft MPI/IPP,Garching,Germany,Europe,Lenovo/IBM,Research,Linux,65320,NULL,1283.3,1463.2,1260
91,National Supercomputing Centre in Shenzhen (NSCS),ShenZhen,China,Asia,Sugon,Research,Linux,120640,NULL,1271,2984.3,2580
92,National Center for Atmospheric Research (NCAR),Boulder,US,North America,IBM,Research,Linux,72288,NULL,1257.6,1503.6,1436.72
93,CSC (Center for Scientific Computing),Espoo,Finland,Europe,Cray Inc.,Academic,Cray Linux Environment,40608,NULL,1250,1689.3,680
94,International Fusion Energy Research Centre (IFERC),Rokkasho,Japan,Asia,Bull,Academic,Other,70560,282240,1237,1524.1,2200
95,SHARCNET - University of Waterloo,Waterloo,Canada,North America,Huawei,Academic,CentOS,51200,133120,1228,2641.4,546.04
96,Atos,Angers,France,Europe,Bull,Vendor,bullx SCS,46800,74880,1225.3,1647.4,472
97,Sandia National Laboratories,Albuquerque,US,North America,Penguin Computing,Research,TOSS,40392,143616,1223.7,1357.2,480
98,Sandia National Laboratories,Albuquerque,US,North America,Penguin Computing,Research,TOSS,40392,143616,1223.7,1357.2,480
99,Deutscher Wetterdienst,Offenbach,Germany,Europe,Cray Inc.,Research,Cray Linux Environment,41472,NULL,1214.2,1459.8,528.2
100,University of Cambridge,Cambridge,UK,Europe,Dell,Academic,Scientific Linux,21240,8640,1193,1751.6,114.4
101,Lawrence Livermore National Laboratory,Livermore,US,North America,Penguin Computing,Research,TOSS,39744,141312,1179.6,1335.4,485
102,University of Tokyo/Institute for Solid State Physics,Tokyo,Japan,Asia,HPE,Academic,SUSE Linux Enterprise Server,38016,202752,1178.3,1520.6,580.9
103,ERDC DSRC,Vicksburg,US,North America,Cray Inc.,Research,Linux,150528,301056,1167,1505.3,5569
104,Service Provider T,,China,Asia,Lenovo,Industry,Linux,78000,208000,1149.6,2870.4,2437.5
105,Los Alamos National Laboratory,Los Alamos,US,North America,Penguin Computing,Research,TOSS,39672,141056,1144.8,1333,485.7
106,Los Alamos National Laboratory,Los Alamos,US,North America,Penguin Computing,Research,TOSS,39672,141056,1144.8,1333,485.7
107,DOE/NNSA/LANL/SNL,Los Alamos,US,North America,Cray Inc.,Research,Linux,142272,NULL,1110,1365.8,3980
108,Energy Company (DD),,US,North America,Dell,Industry,CentOS,25920,27648,1106,1748.4,3564
109,Internet Company A,,China,Asia,Lenovo,Industry,Linux,84000,224000,1101.6,3360,2625
110,Internet Company A,,China,Asia,Lenovo,Industry,Linux,84000,224000,1101.6,3360,2625
111,Pawsey Supercomputing Centre, Kensington,Australia,Oceania,Cray Inc.,Research,Cray Linux Environment,35712,NULL,1097.6,1485.6,697.5
112,NASA/Ames Research Center/NAS,Mountain View,US,North America,HPE,Research,SUSE Linux Enterprise Server,32256,147456,1096,1238.6,438.54
113,SURFsara,Amsterdam,Netherlands,Europe,Bull,Academic,bullx SCS,38880,103680,1088.5,1327.1,706
114,IT Service Provider,Phoenix,US,North America,HPE,Industry,Linux,36288,NULL,1085.5,1509.6,972
115,CNRS/IDRIS-GENCI,,France,Europe,IBM,Academic,Linux,98304,98304,1073.3,1258.3,493.12
116,University of Edinburgh,Edinburgh,UK,Europe,IBM,Academic,Linux,98304,NULL,1073.3,1258.3,493.12
117,DOE/SC/Argonne National Laboratory,Argonne,US,North America,Cray Inc.,Research,Cray Linux Environment,46720,NULL,1070.6,1750,346.75
118,Automotive,,US,North America,HPE,Industry,Linux,39744,NULL,1061,1462.6,1324.8
119,Service Provider T,,China,Asia,Lenovo,Industry,Linux,51840,184320,1060.2,1824.8,1080
120,Louisiana Optical Network Initiative,Baton Rouge,US,North America,Dell,Academic,RHEL,23040,30720,1052,1473.6,500
121,US Army Research Laboratory (ARL),Aberdeen,US,North America,HPE,Research,RHEL,33088,NULL,1050.5,1164.7,432.5
122,Commissariat a l'Energie Atomique (CEA),Bruyeres-le-Chatel,France,Europe,Bull,Research,Linux,138368,NULL,1050,1254.5,4590
123,Information Technology Center- The University of Tokyo,Tokyo,Japan,Asia,Fujitsu,Academic,Linux,76800,153600,1043,1135.4,1176.8
124,Internet Service (B),,China,Asia,Lenovo,Industry,Linux,100000,320000,1038.4,3200,3750
125,MIT/Lincoln Laboratory,Cambridge,US,North America,Dell,Academic,CentOS,41472,124416,1032.8,1725.2,291.6
126,TU Dresden,Dresden,Germany,Europe,Bull,Academic,Bullx Linux,34656,93184,1029.9,1386.2,582
127,Centre for High Performance Computing,Cape Town,South Africa,Africa,Dell,Academic,CentOS,32856,175232,1029.3,1366.8,685
128,Research Institute for Information Technology- Kyushu University,Kyushu,Japan,Asia,Hitachi/Fujitsu,Academic,RHEL,222072,435968,1018,1502.2,19431.3
129,Texas Advanced Computing Center/Univ. of Texas,Austin,US,North America,Cray Inc.,Academic,Cray Linux Environment,30048,NULL,1017,1250,586.88
130,Deutscher Wetterdienst,Offenbach,Germany,Europe,Cray Inc.,Research,Cray Linux Environment,34560,NULL,1014,1227.6,448.2
131,PCSS Poznan,Poznan,Poland,Europe,Huawei,Academic,Linux,32984,301568,1013.7,1372.1,549.6
132,Service Provider T,,China,Asia,Lenovo,Industry,Linux,108000,288000,1013.5,3974.4,3375
133,Software Company (M),,US,North America,HPE,Industry,Linux,36720,NULL,1012,1410,1224
134,Software Company (M),,US,North America,HPE,Industry,Linux,36720,NULL,1012,1410,1224
135,Academic Computer Centre in Gdansk,Gda?sk,Poland,Europe, Megatel/ACTION,Academic,Linux,38400,92160,1010.9,1413.1,864
136,National Supercomputing Centre Singapore,Singapore,Singapore,Asia,Fujitsu,Research,CentOS,30912,164864,1010,1285.9,1159.2
137,Advanced Center for Computing and Communication,Wako,Japan,Asia,PEZY Computing / Exascaler Inc.,Research,Linux,1313280,81920,1001,1533.5,149.99
138,NASA/Goddard Space Flight Center,Greenbelt,US,North America,HPE,Research,SUSE Linux Enterprise Server,31248,NULL,1000.5,1299.9,2008.8
139,National Institutes of Health (NIH),,US,North America,HPE,Government,Linux,32032,NULL,991.6,1230,800.8
140,HLRN at ZIB/Konrad Zuse-Zentrum Berlin,Berlin,Germany,Europe,Cray Inc.,Academic,Cray Linux Environment,44928,NULL,991.5,1425.7,877.5
141,Advanced Center for Computing and Communication,Wako,Japan,Asia,Fujitsu,Research,Linux,34560,34560,989.6,1092.1,518.4
142,Meteorological Research Institute,,Japan,Asia,Fujitsu,Research,Linux,34560,34560,989.6,1092.1,518.4
143,Internet Service (B),,China,Asia,Sugon,Industry,CentOS,48000,384000,984.8,1996.8,1710
144,IPE-HPC,Beijing,China,Asia,Sugon,Research,CentOS,24800,25600,981.2,1643.2,840
145,Purdue University,West Lafayette,US,North America,HPE,Academic,Linux,77520,NULL,976.8,1341.1,510
146,Energy Company,,China,Asia,Huawei,Industry,CentOS,34816,81920,974,1906.7,343.64
147,Service Provider T,,China,Asia,Lenovo,Industry,Linux,79520,272640,972.1,2544.6,2130
148,National Institute of Advanced Industrial Science and Technology,Tsukuba,Japan,Asia,NEC,Research,CentOS,23400,12800,961,2148.8,75.78
149,AWE,Aldermaston,UK,Europe,HPE,Research,SUSE Linux Enterprise Server,44520,139000,958.7,997.2,855.1
150,Air Force Research Laboratory,Wright-Patterson AFB,US,North America,Cray Inc.,Government,Cray Linux Environment,56112,NULL,957.6,1212,1571.14
151,Service Provider T,,China,Asia,Lenovo,Industry,Linux,90000,288000,954.7,3744,3375
152,Service Provider T,,China,Asia,Lenovo,Industry,Linux,90000,288000,954.7,3744,3375
153,UNINETT Sigma2 AS,Trondheim,Norway,Europe,Lenovo,Academic,Linux,32192,64384,953.6,1081.7,905.4
154,Service Provider T,,China,Asia,HPE,Industry,Linux,41832,NULL,951.7,1539.4,1394.4
155,Internet Company,Hangzhou,China,Asia,Sugon,Industry,CentOS,50400,537600,946.8,1935.4,1965
156,EDF,Val de reuil,France,Europe,Bull,Industry,Linux,29568,68864,942.8,1135.4,420.87
157,China Manufacture Company B,,China,Asia,Huawei,Industry,CentOS,32768,131072,937.9,1101,416
158,Service Provider T,,China,Asia,Lenovo,Industry,Linux,43200,153600,915.4,1520.6,900
159,Internet Company,Beijing,China,Asia,Sugon,Industry,CentOS,50000,320000,914.8,1840,1235
160,IT Provider (P),,US,North America,HPE,Industry,Linux,28800,38400,914.7,1152,1590
161,Interdisciplinary Centre for Mathematical and Computational Modelling- University of Warsaw,Warsaw,Poland,Europe,Cray Inc.,Academic,Cray Linux Environment,26016,NULL,909.6,1082.3,585.36
162,Shared Services Canada,,Canada,North America,Cray Inc.,Government,Cray Linux Environment,30816,NULL,904.1,1035.4,462.24
163,Shared Services Canada,,Canada,North America,Cray Inc.,Government,Cray Linux Environment,30816,NULL,904.1,1035.4,462.24
164,Moscow State University - Research Computing Center,Moscow,Russia,Asia,T-Platforms,Academic,Linux,78660,99489,901.9,1700.2,2800
165,Supercomputer Education and Research Centre (SERC),,India,Asia,Cray Inc.,Academic,Cray Linux Environment,31104,NULL,901.5,1244.2,607.5
166,Rensselaer Polytechnic Institute,Troy,US,North America,IBM,Academic,Linux,81920,81920,894.4,1048.6,410.9
167,Software Company (M),,US,North America,HPE,Industry,Linux,32400,NULL,893,1244.2,1080
168,Internet Service (S),,China,Asia,Lenovo,Industry,Linux,53200,121600,881,2213.1,1425
169,Internet Company A,,China,Asia,Huawei,Industry,Linux,49600,317440,875.9,1825.3,930
170,Internet Service A,Hangzhou,China,Asia,Inspur,Industry,CentOS,44800,179200,874.1,1792,672
171,Internet Service A,Hangzhou,China,Asia,Inspur,Industry,CentOS,44800,179200,874.1,1792,672
172,Clemson University,Anderson,US,North America,HPE,Academic,Linux,23452,45312,870,1550.5,1123.5
173,Retail,,US,North America,HPE,Industry,Linux,46080,NULL,869.2,1548.3,1908
174,Government,Chongqing,China,Asia,Sugon,Government,CentOS,45600,243200,862.5,1751,1700
175,Volvo Personvagnar AB,,Sweden,Europe,HPE,Industry,Linux,24624,NULL,861.5,1024.4,1231.2
176,Software Company (M),,US,North America,HPE,Industry,Linux,40320,NULL,858.9,1483.8,806.4
177,Software Company (M),,US,North America,HPE,Industry,Linux,40320,NULL,858.9,1483.8,806.4
178,Trading Company,,China,Asia,HPE,Industry,Linux,36800,NULL,856.5,1530.9,1840
179,Services Company (S),,Japan,Asia,HPE,Industry,Linux,37884,NULL,852.8,1454.7,1082.4
180,Government,Jinan,China,Asia,Sugon,Government,CentOS,43200,230400,848.2,1728,756
181,Texas Advanced Computing Center/Univ. of Texas,Austin,US,North America,Dell / Intel,Academic,CentOS,34272,48768,842.9,1535.4,515.46
182,Software Company (M),,US,North America,HPE,Industry,Linux,30528,NULL,841.4,1172.3,1017.6
183,Software Company (M),,US,North America,HPE,Industry,Linux,30528,NULL,841.4,1172.3,1017.6
184,IT Services Provider ,,US,North America,HPE,Industry,Linux,33660,NULL,838.8,1400.3,1346.4
185,Intel,Santa Clara,US,North America,HPE,Industry,Linux,30672,327168,833.9,1226.9,1533.6
186,Software Company (M),,US,North America,HPE,Industry,Linux,30240,NULL,833.5,1161.2,1008
187,Services Company (S),,US,North America,HPE,Industry,Linux,36736,NULL,831.9,1410.7,1049.6
188,Services Company (S),,US,North America,HPE,Industry,Linux,36736,NULL,831.9,1410.7,1049.6
189,HLRN at Universitaet Hannover / RRZN,Hannover,Germany,Europe,Cray Inc.,Academic,Cray Linux Environment,40320,NULL,829.8,1241.4,787.5
190,Internet Company A,,China,Asia,Lenovo,Industry,Linux,37600,75200,827.2,1504,881.25
191,Internet Service (B),,China,Asia,Sugon,Industry,CentOS,48000,256000,822.8,1689.6,988
192,Financial Company (C A1),,China,Asia,Lenovo,Industry,Linux,42496,169984,822.7,1495.9,996
193,Academic Center for Computing and Media Studies (ACCMS)-  Kyoto University,Kyoto,Japan,Asia,Cray Inc.,Academic,Cray Linux Environment,30600,NULL,821.9,1028.2,357.11
194,Software Company (M),,US,North America,HPE,Industry,Linux,38880,NULL,819.2,1493,1296
195,Software Company (M),,US,North America,HPE,Industry,Linux,38880,NULL,819.2,1493,1296
196,Software Company (M),,Ireland,Europe,HPE,Industry,Linux,38784,NULL,819.2,1489.3,1292.8
197,Software Company (M),,Ireland,Europe,HPE,Industry,Linux,36840,NULL,819.2,1414.7,1228
198,Software Company (M),,US,North America,HPE,Industry,Linux,36480,NULL,819.2,1400.8,1216
199,Software Company (M),,US,North America,HPE,Industry,Linux,36048,NULL,819.2,1384.2,1201.6
200,Saudi Aramco,,Saudi Arabia,Asia,HPE,Industry,Linux,40960,-1,816.6,917.5,3072
201,Internet Service A,Hangzhou,China,Asia,Inspur,Industry,CentOS,18432,9216,814.2,1463,449.28
202,Internet Service (B),,China,Asia,Lenovo,Industry,Linux,54800,263040,803.9,2104.3,2055
203,Information Technology Center- The University of Tokyo,Tokyo,Japan,Asia,HPE,Academic,RHEL,17760,NULL,802.4,1417.2,93.57
204,National Astronomical Observatory of Japan,Mitaka,Japan,Asia,Cray Inc.,Academic,Cray Linux Environment,25440,NULL,801.4,1058.3,568.5
205,National Supercomputing Center in Jinan,Jinan,China,Asia,NRCPC,Research,Linux,137200,139264,795.9,1070.2,1074
206,Max-Planck-Gesellschaft MPI/IPP,Garching,Germany,Europe,Lenovo,Research,Linux,28128,65664,790.7,1035.1,791.1
207,Internet Service (B),,China,Asia,Sugon,Industry,CentOS,46000,294400,788.2,1619.2,1076
208,University (A),,China,Asia,Huawei,Academic,CentOS,28160,112640,787.1,946.2,357.5
209,Idaho National Laboratory,Idaho Falls,US,North America,HPE,Research,SUSE Linux Enterprise Server,25056,124416,786.7,969.1,501.12
210,Software Company (M),,US,North America,HPE,Industry,Linux,34560,NULL,785.3,1327.1,1152
211,Software Company (M),,Netherlands,Europe,HPE,Industry,Linux,34560,NULL,785.3,1327.1,1152
212,Software Company (M),,US,North America,HPE,Industry,Linux,34560,NULL,785.3,1327.1,1152
213,Software Company (M),,Netherlands,Europe,HPE,Industry,Linux,34560,NULL,785.3,1327.1,1152
214,Stanford Research Computing Center,Stanford,US,North America,Cray Inc.,Academic,Linux,14820,16640,781.3,1001.7,190
215,Internet Service A,Hangzhou,China,Asia,Inspur,Industry,CentOS,17920,8960,779.2,1422.4,436.8
216,University of Tokyo/Institute for Solid State Physics,Tokyo,Japan,Asia,HPE,Academic,SUSE Linux Enterprise Server,15552,36864,777.4,1100.2,255.3
217,Lawrence Livermore National Laboratory,Livermore,US,North America,Cray Inc.,Research,RHEL,46208,92416,773.7,961.1,924.16
218,National Super Computer Center in Hunan,Changsha,China,Asia,NUDT,Research,Linux,53248,98304,771.7,1342.8,1155.07
219,Qingdao National Laboratory for Marine Science and Technology,Qingdao,China,Asia,Inspur,Research,CentOS,23920,76800,771.3,995.1,162
220,National Institute for Environmental Studies,Tsukuba,Japan,Asia,NSSOL/HPE,Research,CentOS,16320,NULL,770.4,1243.8,78.64
221,Karlsruher Institut für Technologie (KIT) ,Karlsruhe,Germany,Europe,Lenovo,Academic,Linux,22960,73472,768.3,955.1,435
222,AWE,Aldermaston,UK,Europe,HPE,Research,SUSE Linux Enterprise Server,35640,111000,767.5,798.3,684.5
223,Sandia National Laboratories,Albuquerque,US,North America,Penguin Computing,Research,TOSS,25920,94720,761.8,870.9,320
224,Penguin Computing  Inc.,Fremont,US,North America,Penguin Computing,Vendor,TOSS,26496,98304,759.9,778.5,321
225,Service Provider,, South Korea,Asia,HPE,Industry,Linux,30720,NULL,759.6,1032.2,672
226,Retailer (C),,US,North America,HPE,Industry,Linux,36500,NULL,758.6,1284.8,1460
227,Retailer (C),,US,North America,HPE,Industry,Linux,36500,NULL,758.6,1284.8,1460
228,Service Provider,, South Korea,Asia,HPE,Industry,Linux,32760,NULL,757,1258,936
229,Internet Company A,,China,Asia,Lenovo,Industry,Linux,70000,224000,756.9,2240,2625
230,Internet Company A,,China,Asia,Lenovo,Industry,Linux,70000,224000,756.9,2240,2625
231,Internet Company A,,China,Asia,Lenovo,Industry,Linux,70000,224000,756.9,2240,2625
232,Software Company (M),,US,North America,HPE,Industry,Linux,30000,NULL,753.5,1152,1000
233,IT Service Provider,Beijing,China,Asia,Sugon,Industry,CentOS,44000,281600,752.3,1548.8,1029
234,Government Research Center,Nanjing,China,Asia,Sugon,Government,CentOS,38400,204800,752.3,1536,672
235,Internet Service (B),,China,Asia,Inspur,Industry,CentOS,48000,256000,748.2,1766.4,960
236,Internet Service (B),,China,Asia,Inspur,Industry,CentOS,48000,256000,748.2,1766.4,960
237,Service Provider T,,China,Asia,Inspur,Industry,CentOS,48000,256000,748.2,1766.4,960
238,Software Company (M),,US,North America,HPE,Industry,Linux,32832,NULL,746.1,1260.7,1094.4
239,Center for Computational Sciences- University of Tsukuba,Tsukuba,Japan,Asia,Cray Inc.,Academic,Linux,55664,25088,746,998.5,365.8
240,Service Provider,, South Korea,Asia,HPE,Industry,Linux,32200,NULL,744,1236.5,920
241,Government,Gansu,China,Asia,Sugon,Government,CentOS,39200,NULL,742.4,1505.3,588
242,Internet Company,Hangzhou,China,Asia,Sugon,Industry,CentOS,43200,230400,741.8,1520.6,900
243,National Institute for Materials Science,,Japan,Asia,HPE,Research,SUSE Linux Enterprise Server,25056,133632,741.7,1002.2,405
244,Internet Service (B),,China,Asia,Lenovo,Industry,Linux,38400,153600,740.4,1536,900
245,University of Florida,Gainesville,US,North America,Dell,Academic,RHEL,29184,116736,738.1,1074,384
246,LASG/Institute of Atmospheric Physics,Beijing,China,Asia,Sugon,Academic,Linux,24912,132864,738,996.5,540
247,Government,Wuhan,China,Asia,Sugon,Government,CentOS,35840,163840,734.7,1490.9,576
248,Government,Beijing,China,Asia,Sugon,Government,CentOS,14400,25600,731.2,1236.2,400
249,Intel,Rio Rancho,US,North America,Intel,Industry,Linux,30056,49504,730.6,1346.5,194.48
250,Internet Service A,Hangzhou,China,Asia,Inspur,Industry,CentOS,15640,21760,730.1,1085.6,225
