Rank,Name,City,Country,Region,Manufacturer,Segment,OS,Cores,Memory,Rmax,Rpeak,Power
311,Software Company (M),,US,North America,HPE,Industry,Linux,27288,NULL,620.1,1047.9,909.6
312,Manufacturing Company,,Sweden,Europe,HPE,Industry,Linux,23688,NULL,620.1,985.4,1184.4
313,Internet Company A,,China,Asia,Lenovo,Industry,Linux,30016,274432,615.6,1248.7,804
314,Government Insttitution,,China,Asia,Huawei,Classified,Linux,19600,89600,614.7,815.4,264
315,Internet Service (B),,China,Asia,Inspur,Industry,CentOS,10800,9600,614.1,888.2,165
316,Software Company (M),,US,North America,HPE,Industry,Linux,27000,NULL,613.6,1036.8,900
317,Public Cloud Service A,Dongguan,China,Asia,Huawei,Industry,Linux,25000,640000,613.2,920,471
318,SGI,Chippewa Falls,US,North America,HPE,Vendor,SUSE Linux Enterprise Server,16100,73600,609.8,669.8,251.2
319,Software Company (M),,US,North America,HPE,Industry,Linux,26640,NULL,605.4,1023,888
320,Software Company (M),,US,North America,HPE,Industry,Linux,26640,NULL,605.4,1023,888
321,Internet Company A,,China,Asia,Inspur,Industry,CentOS,10720,17152,604.4,865.1,162
322,Internet Company A,,China,Asia,Inspur,Industry,CentOS,10720,17152,604.4,865.1,162
323,Software Company (M),,US,North America,HPE,Industry,Linux,26592,NULL,604.3,1021.1,886.4
324,Rutgers Discovery Informatics Institute,Piscataway,US,North America,Supermicro,Academic,Linux,20160,143360,603,677.4,896
325,Software Company (M),,US,North America,HPE,Industry,Linux,26400,NULL,599.9,1013.8,880
326,Indiana University,Bloomington,US,North America,Cray Inc.,Academic,Cray Linux Environment,31288,NULL,597.4,1000.6,458.12
327,Internet Company A,,China,Asia,Lenovo,Industry,Linux,34320,137280,597.4,1263,1072.5
328,Internet Service (B),,China,Asia,Inspur,Industry,CentOS,10224,9088,596.3,877.7,166
329,Vienna Scientific Cluster,Vienna,Austria,Europe,ClusterVision,Academic,Scientific Linux,32768,131072,596,681.6,450
330, Internet Company (Y),Beijing,China,Asia,Lenovo,Industry,Linux,35840,114688,594.2,1261.6,1344
331,Internet Company,Beijing,China,Asia,Sugon,Industry,CentOS,13280,10240,591.4,999.6,280
332,Software Company (M),,US,North America,HPE,Industry,Linux,23496,NULL,590.2,902.2,783.2
333,Software Company (M),,US,North America,HPE,Industry,Linux,23496,NULL,590.2,902.2,783.2
334,Service Provider T,,China,Asia,Lenovo,Industry,Linux,33600,89600,588.6,1236.5,1050
335,Service Provider T,,China,Asia,Lenovo,Industry,Linux,33600,179200,588.6,1236.5,1050
336,Web Company (F),,US,North America,HPE,Industry,Linux,17280,NULL,586.1,691.2,576
337,Japan Adv. Inst. of Science and Technology (JAIST),Hokuriku,Japan,Asia,Cray Inc.,Academic,Cray Linux Environment,19728,70144,584.8,662.9,295.92
338,Central Research Institute of Electric Power Industry/CRIEPI,Chiyoda-ku,Japan,Asia,HPE,Research,SUSE Linux Enterprise Server,32256,64512,582.1,670.9,720
339,Internet Service (B),,China,Asia,Inspur,Industry,CentOS,9792,8704,581.1,829.7,159
340,Service Provider,,China,Asia,Lenovo,Industry,Linux,40800,217600,579.7,1566.7,2550
341,ONERA,Chatillon,France,Europe,NEC,Research,CentOS,17360,79360,579.2,666.6,297.6
342,IT Service Provider (L),Beijing,China,Asia,Sugon,Industry,CentOS,31200,83200,579,1198.1,780
343,Internet Service (B),,China,Asia,Lenovo,Industry,Linux,31460,100672,578.9,1157.7,1179.75
344,Software Company (M),,UK,Europe,HPE,Industry,Linux,25440,NULL,578.1,976.9,848
345,Hosting Company (M),,Austria,Europe,HPE,Industry,Linux,26880,NULL,572.6,989.2,537.6
346,Software Company,,Finland,Europe,HPE,Industry,Linux,26880,NULL,572.6,989.2,537.6
347,Software Company (M),,US,North America,HPE,Industry,Linux,26880,NULL,572.6,989.2,537.6
348,Software Company (M),,US,North America,HPE,Industry,Linux,26880,NULL,572.6,989.2,537.6
349,Internet Company B,Hangzhou,China,Asia,Sugon,Industry,CentOS,54000,216000,570.6,907.2,900
350,Service Provider T,,China,Asia,Lenovo,Industry,Linux,28560,76160,567.1,1051,892.5
351,NOAA/Oak Ridge National Laboratory,Oak Ridge,US,North America,Cray Inc.,Research,Cray Linux Environment,77824,NULL,565.7,716,972
352,Internet Company A,,China,Asia,Lenovo,Industry,Linux,23552,47104,565.2,942.1,552
353,China Telecom,,China,Asia,Lenovo,Industry,Linux,81000,259200,563.5,1425.6,3645
354,Government,Beijing,China,Asia,Sugon,Government,Linux,43200,172800,561.2,898.6,720
355,Indian Lattice Gauge Theory Initiative (ILGTI),,India,Asia,Cray Inc.,Research,Cray Linux Environment,11424,NULL,558.8,730.7,319.87
356,Universitaet Aachen/RWTH - IT Center,Aachen,Germany,Europe,NEC,Academic,CentOS,18816,100352,558.4,662.3,285
357,Universitaet Mainz,Mainz,Germany,Europe,MEGWARE,Academic,CentOS,16500,81920,557.6,580.8,241.9
358,Internet Company A,,China,Asia,Lenovo,Industry,Linux,26800,107200,557.4,1114.9,1256.25
359,Internet Company A,,China,Asia,Huawei,Industry,CentOS,49440,395520,557.3,1028.4,882
360,Louisiana State University,Baton Rouge,US,North America,Dell,Academic,RHEL,45866,23680,557,925.1,370
361,Internet Service (B),,China,Asia,Inspur,Industry,CentOS,36000,230400,555.4,1152,380
362,Meteorological Service ,,China,Asia,Huawei,Government,Linux,20000,128000,555.3,736,375
363,Internet Company M,Inner Mongolia,China,Asia,Sugon,Industry,Linux,44800,179200,555.2,896,540
364,Trading Company,,China,Asia,Sugon,Industry,CentOS,13440,14336,551.1,912.3,168
365,China Unicom,,China,Asia,Lenovo,Industry,Linux,78000,249600,550.1,1372.8,3510
366,WETA Digital,Wellington,New Zealand,Oceania,HPE,Industry,Linux,21600,NULL,549.1,864,1192.5
367,NASA/Goddard Space Flight Center,Greenbelt,US,North America,HPE,Research,SUSE Linux Enterprise Server,17136,78336,548.7,712.9,1224
368,NASA/Goddard Space Flight Center,Greenbelt,US,North America,HPE,Research,SUSE Linux Enterprise Server,17136,78336,548.7,712.9,1224
369,Flemish Supercomputer Center,Leuven,Belgium,Europe,NEC,Academic,CentOS,16128,92672,548,619.3,255
370,Hosting Services,,US,North America,HPE,Industry,Linux,44832,179328,547.3,932.5,3362.4
371,Service Provider,,US,North America,HPE,Industry,Linux,42848,NULL,545.5,891.2,2410.2
372,China Unicom,,China,Asia,Lenovo,Industry,Linux,24576,98304,545,865.1,576
373,Dell HPC Innovation lab,Austin,US,North America,Dell,Vendor,RHEL,19920,49152,538.7,769.9,288
374,High Energy Accelerator Research Organization /KEK,Tsukuba,Japan,Asia,IBM,Research,Linux,49152,NULL,536.7,629.1,246.56
375,High Energy Accelerator Research Organization /KEK,Tsukuba,Japan,Asia,IBM,Research,Linux,49152,NULL,536.7,629.1,246.56
376,China Mobile,,China,Asia,Lenovo,Industry,Linux,75000,240000,536.6,1320,3375
377,China Mobile,,China,Asia,Lenovo,Industry,Linux,75000,240000,536.6,1320,3375
378,China Mobile,,China,Asia,Lenovo,Industry,Linux,75000,240000,536.6,1320,3375
379,Michigan State University,East Lansing,US,North America,Lenovo,Academic,Linux,15296,47104,535.9,754.7,198.86
380,Sandia National Laboratories,Albuquerque,US,North America,Cray Inc.,Research,Linux,29584,NULL,532.9,615.3,675
381,King Abdulaziz City for Science and Technology,Riyadh,Saudi Arabia,Asia,Adtech,Research,Linux,38400,38400,532.6,1098,179.15
382,Internet Company A,,China,Asia,Lenovo,Industry,Linux,25600,102400,532.5,1065,1200
383,Core International,,China,Asia,Lenovo,Industry,Linux,18848,75392,530.8,965,883.5
384,Hosting Company (M),,Austria,Europe,HPE,Industry,Linux,20352,NULL,527.2,781.5,678.4
385,Software Company (M),,US,North America,HPE,Industry,Linux,20064,NULL,527.2,770.5,668.8
386,Software Company (M),,US,North America,HPE,Industry,Linux,20064,NULL,527.2,770.5,668.8
387,Internet Company,Beijing,China,Asia,Sugon,Industry,Linux,42240,168960,526.9,844.8,500
388,Universitaet Freiburg,Freiburg,Germany,Europe,DALCO,Academic,Linux,15120,96256,525.7,532.2,257.04
389,Internet Company,Beijing,China,Asia,Sugon,Industry,CentOS,50400,201600,525.7,846.7,756
390,Software Company (M),,US,North America,HPE,Industry,Linux,19968,NULL,524.6,766.8,665.6
391,Indian Institute of Technology Delhi,Delhi,India,Asia,HPE,Academic,Linux,22572,NULL,524.4,1170.1,498.46
392,Cloud Provider,,Canada,North America,HPE,Industry,Linux,23040,NULL,523.6,884.7,768
393,Software Company,, South Korea,Asia,HPE,Industry,Linux,23040,NULL,523.6,884.7,768
394,University College London (UCL),London,UK,Europe,Lenovo,Academic,Linux,17280,92160,523.4,608.3,648
395,Government,Shanghai,China,Asia,Sugon,Government,CentOS,17280,18432,522.8,1165.6,320
396,China Mobile,,China,Asia,Lenovo,Industry,Linux,28300,181120,520.7,1041.4,1061.25
397,University of Bristol,Bristol,UK,Europe,Lenovo,Academic,Linux,16072,71680,518.1,617.2,516.6
398,Airbus,,France,Europe,HPE,Industry,Linux,34560,NULL,516.9,746.5,1363.2
399,Service Provider T,,China,Asia,Lenovo,Industry,Linux,28800,153600,515.8,1059.8,900
400,Government,Beijing,China,Asia,Sugon,Government,Linux,39600,158400,515.8,823.7,600
401,Navy DSRC,,US,North America,Cray Inc.,Government,Cray Linux Environment,38608,NULL,514.9,761,1081.02
402,Software Company,,Finland,Europe,HPE,Industry,Linux,19488,NULL,512,748.3,649.6
403,Manufacturing Company C,,Germany,Europe,Huawei,Industry,Linux,17280,82944,509.1,671.8,552.4
404,University of Cambridge,Cambridge,UK,Europe,Dell,Academic,Scientific Linux,21888,32832,508.9,910.5,95.48
405,Internet Service (S),,China,Asia,Lenovo,Industry,Linux,28800,115200,508.7,1105.9,1350
406,EDF R&D,Paris,France,Europe,IBM,Industry,Linux,16100,NULL,506.4,669.8,373.75
407,Software Company (M),,US,North America,HPE,Industry,Linux,18360,NULL,506,705,612
408,Software Company (M),,US,North America,HPE,Industry,Linux,18360,NULL,506,705,612
409,China Telecom,,China,Asia,Lenovo,Industry,Linux,19456,NULL,505.9,778.2,456
410,Maryland Advanced Research Computing Center,Baltimore,US,North America,Dell,Academic,CentOS,19872,92672,505.1,874.6,750
411,Data Processing Company,,Germany,Europe,HPE,Industry,Linux,18816,NULL,504.1,782.7,806.4
412,Government,Wuxi,China,Asia,Sugon,Government,Linux,10200,9600,501.7,804.2,180
413,Service Provider T,,China,Asia,Lenovo,Industry,Linux,33600,179200,500.6,1290.2,2100
414,Energy Company (D),Houston,US,North America,HPE,Industry,Linux,50400,NULL,499.2,1129,3780
415,HPC Midlands Plus,loughborough,UK,Europe,ClusterVision,Academic,CentOS,14336,65536,499.1,550.5,384
416,Government,,China,Asia,Lenovo,Government,Linux,54000,69120,498.4,660.8,2430
417,Government,,China,Asia,Lenovo,Government,Linux,54000,69120,498.4,660.8,2025
418,Government,,China,Asia,Lenovo,Government,Linux,54000,69120,498.4,660.8,2430
